CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"Houskeeping, brandbelastning mm trapphus i D9403.",Operational loss,"Houskeeping, brandbelastning mm trapphus i D9403.",Non-Process Safety
Felaktigt ID friklassningslador,Environment,Felaktigt ID friklassningslador,Non-Process Safety
Piktogramm vom Sammelplatz stark verblasst & verdreckt.,Asset and Reputation damage/loss,BGL – Pawiker Strasse – Schild / Piktogramm Sammelplatz stark verblasst.,Non-Process Safety
"Safe ID: 109720
Oskarshamn 3 - Aterkommande problem att manovrera in styrstav efter utlost delsnabbstopp",Process Safety,"Safe ID: 109720
Oskarshamn 3 - Aterkommande problem att manovrera in styrstav efter utlost delsnabbstopp",Non-Process Safety
"Zojuist een storing gekregen om de BMC, aansluitend krijgen we dan normaal een telefoontje van het Security Centrum. Dit gebeurde niet. Aansluitend contact met hen opgenomen. Zij geven aan dat er geen storing bij hen is binnengekomen. Ook komt de storing niet op TDC binnen.",Process Safety,Storing brandmeldcentrale en geeft geen signalering naar Security Centrum of TDC,Non-Process Safety
Dach Armaturen Druckmessung NH4OH Einduesung Kessel 2 (KKS 81 UG01 P101 MKE): fehlende Isolierung (Bleche und teilweise Steinwolle zu wenig) sowie Einsatz von Hilfsbaendern,Process Safety,fehlende Isolierung sowie Einsatz von Hilfsbaendern,Non-Process Safety
Oskarshamn 3 - Algbelaggning i system 323,Process Safety,Oskarshamn 3 - Algbelaggning i system 323,Non-Process Safety
During the planning for the May outage it was noticed that two separate Safety Valves were labelled the same (18LBS10AA010).  The small Safety Valve on the air receiver had a tag from the valve company that tested it and the large Safety Valve had a proper plant tag. It is thought the small Safety Valve on the air receiver has been incorrectly tagged by the valve company. See pictures attached. On checking other Safety Valves around site it seems the labelling is poor and requires attention.,Process Safety,Two Safety Valves with the same KKS Identification,Non-Process Safety
Oskarshamn 1 - RIO - B-lador for nara driftsatt el,Asset and Reputation damage/loss,Oskarshamn 1 - RIO - B-lador for nara driftsatt el,Non-Process Safety
Socket missing a bolt in the library room in the technology centre,,Socket missing a bolt in the library,Non-Process Safety
Kuehlturm DWS Boden und Wasserauffangklappen defekt,Process Safety,Kuehlturm DWS Boden und Wasserauffangklappen defekt,Non-Process Safety
#NAME?,Process Safety,Sicherheitsbegehung GTKW Itzehoe 23.06.2022,Non-Process Safety
"The preheater pump 2 motor has recently been replaced but the label on the new motor is for preheater pump 1. The label also has the switchgear reference number for the incorrect pump which could cause the wrong motor to be isolated for work.

The discharge pressure transmitter also has a label from main boiler feed pump 2 discharge pressure transmitter.

Poor quality checks on returning plant to operations.",Process Safety,U7 Preheater Pump 2 Motor Installed with Incorrect Labels,Non-Process Safety
"Die Maschine soll zur Lebensdaueranalyse des Polrades demontiert werden. Nach der Demontage der ersten Gehaeuseteile wurden durch die Monteure verdaechtige Ablagerungen und Abplatzungen festgestellt, die Asbest vermuten lassen.",,Asbestverdacht Maschine 4,Non-Process Safety
Oskarshamn 2 - RIO - Brandlarm rum 2.3.41A,Asset and Reputation damage/loss,Oskarshamn 2 - RIO - Brandlarm rum 2.3.41A,Non-Process Safety
Lackage av saltvatten i hjalpkyl WP4,Process Safety,Lackage av saltvatten i hjalpkyl WP4,Non-Process Safety
WP12.3 R3.35 brandfilt saknas - heta arbeten,Asset and Reputation damage/loss,WP12.3 R3.35 brandfilt saknas - heta arbeten,Non-Process Safety
"Aufgrund der Reparatur eines Rohrschadens wurde eine Ersatzversorgung fuer ein Krankenhaus in Gelsenkirchen-Buer eingerichtet. Das Hotmobil wurde sinngemaess  an die Primaer-Leitung des FH-Netzes angeschlossen. Der Schlauch wies im Bereich der Storzkupplung  einen radialen Riss um ca. 180 ° auf. Der Riss lag unterhalb einer Schelle, die zur Kennzeichnung der Schlaeuche dient und wurde deshalb erst erkannt als das System zwecks Inbetriebnahme mit ca. 70° heissem Ruecklauf-Wasser befuellt wurde.",Process Safety,Austretendes Ruecklaufwasser an aufgerissenem Schlauch bei Ersatzversorgung Krankenhaus,Non-Process Safety
"Windhose im Bereich FWK Rohrtrasse
Die Windhose hat sich am Mast umschlungen und ist beschaedigt.",Process Safety,Begehung - beschaedigte Windhose am Mast,Non-Process Safety
Oskarshamn 3 - Ej kontrollerad handbrandslackare.,Process Safety,Oskarshamn 3 - Ej kontrollerad handbrandslackare.,Non-Process Safety
Hog brandbelastning vid turbinport,Process Safety,Hog brandbelastning vid turbinport,Non-Process Safety
"It had been identified previously that the"" Kennedy style floor grating"" around the base of the generator step-up transformer of Unit 41, had loose and/or missing floor clips. Until the floor could be made safe, a permanent scaffold barrier complete with locked gate, warning and information signs, with erected, to deny all access. 

Whilst undertaking site duties, a scaffolding supervisor had noticed someone inside the barriered off area of Unit 41 transformer. The supervisor (who had constructed this barrier previously) asked the individual (a Siemens engineer) as to why he was inside the barriered area. He claimed to have permission from his employer and had been issued with a permit.  The supervisor challenged this, knowing that the area was out of bounds to everyone and the access gate was still locked. The supervisor told the engineer to vacate the area immediately, and after a bit of hesitance, the engineer climbed over the fixed barrier and exited the area.
The incident was immediately report to Uniper and Siemens management.",Process Safety,Unauthorised crossing of a fixed no entry barrier around Unit 41 transformer on Sync Comp Project.,Non-Process Safety
Bei FW-Hausanschluss-Arbeiten durch eine Tiefbau-Partnerfirma wurde die Isolierung einer Niederspannungsleitung beschaedigt. Die Fa. Westnetz hat eine Reparaturmuffe gesetzt.,Process Safety,Isolierungsschaden an Hausanschluss-Leitung der Firma Westnetz,Non-Process Safety
"Am Brenner 5/3 am Bl.1 wurde ein neue OElmengenmessung eingebaut.
Die Auffangwanne fuer Leckoel ist jetzt zu klein, so das bei einer Undichtigkeit der Flansche das OEl ueber Gitterroste nach unten tropft(fliesst).",Process Safety,OElauffangwanne zu klein,Non-Process Safety
Avsokning lastbil,Asset and Reputation damage/loss,Avsokning lastbil,Non-Process Safety
Part of the internal perforated foil has become detached and been ejected from the roof vent.,Process Safety,Unit 3 HP Drains Vessel Roof Vent,Non-Process Safety
"Betriebswege, dreckiger Boden",Asset and Reputation damage/loss,"Herten, Hiberniastrasse, Gebaeude und Raeume ohne Schaltanlage, ZBV-Raum & Infrastrukturraeume hinten links",Non-Process Safety
"Voertuig gepakkeerd op een locatie waarmee de brandkraan geblokkeert staat. 
In geval van nood is hierdoor de brandkraan niet bereikbaar door de brandweer.",Process Safety,Voertuig blokkeert brandkraan,Non-Process Safety
"Tijdens het plaatsen van containers op het terrein EDH is er geconstateerd dat een medewerker onder de last stond om deze te positioneren. Er was geen stuurlijn aanwezig, ook bevonden zich diverse mensen in het hijsgebied zonder de voorgeschreven PBM's.",Process Safety,Onder de (hijs) last staan zonder de voorgeschreven PBM's.,Non-Process Safety
WP4.1 waste barrels,Process Safety,WP4.1 waste barrels,Non-Process Safety
Die Extromaten im Bereich Bekohlung sollten freigeschaltet werden. Vor Ort wurde die Freischaltung durchgefuehrt aber auf der Warte kam nach wie vor die Rueckmeldung dass die Anlage in Betrieb ist.,Process Safety,Elektrisches Freischalten  Extromaten - angepasstes Vorgehen,Non-Process Safety
Unit 4 Recirc pump was isolated on Friday 18th June for works planned for Saturday 19th June when it was understood that the unit would de-sync Friday evening.,Process Safety,PSNH - U4 Recirc Pump Isolation prior to Unit de-sync,Non-Process Safety
Oskarshamn 3 - Trapall med diverse material i rum HB2.42,Process Safety,Oskarshamn 3 - Trapall med diverse material i rum HB2.42,Non-Process Safety
Der Kaminablaufbehaelter ist gefroren und voll. Die Stromversorgung zum Sozialcontainer defekt.,Process Safety,Der Kaminablaufbehaelter ist gefroren und voll. Die Stromversorgung zum Sozialcontainer defekt.,Non-Process Safety
"Ash and dust operations team reported a large leak from upper precips on U2 (on B aide air slides adjacent to ""kettle"".  Dust has settled on to floorings, walkways and ledges beneath.",Process Safety,PSO - Dust release from U2E upper precips,Non-Process Safety
Oskarshamn 3 - WANO Peer Review - 23 - 3M 8mm Permanent Horizontal Safety line - no evidence of any service history on the equipment since installation .,Process Safety,Oskarshamn 3 - WANO Peer Review - 23 - 3M 8mm Permanent Horizontal Safety line - no evidence of any service history on the equipment since installation .,Non-Process Safety
Ej friklassat material togs ut fran friklassningslokal K2,Asset and Reputation damage/loss,Ej friklassat material togs ut fran friklassningslokal K2,Non-Process Safety
Tijdens schoonmaakwerkzaamheden is per abuis het brandalarm geactiveerd naast de heren toilet op de 3e verdieping.,Process Safety,Activatie van brandalarm,Non-Process Safety
Oskarshamn 1 - RIO - STS - Otillaten spolning invandigt av ventiler pa spolplattan i rum K4.70,Asset and Reputation damage/loss,Oskarshamn 1 - RIO - STS - Otillaten spolning invandigt av ventiler pa spolplattan i rum K4.70,Non-Process Safety
Im Zuge einer Stoerungssuche hinsichtlich einer nicht funktionsfaehigen Pumpe  wurde am zugehoerigen Einschub Hinweise auf eine thermische UEberlastung erkannt (dunkle Stellen an den Kunststoffgehaeuse der Kontaktstecker),Process Safety,Thermische Beschaedigung an 400V-Einschub,Non-Process Safety
Beobachtungen im WKW - siehe 2 Empfehlungen,Process Safety,Begehung WKW,Non-Process Safety
Extraction pump tripped following high extraction pump diff pressure reaching 80mbar. filter found to be blocked with debris.,Asset and Reputation damage/loss,CDC tripped following High extraction pump suction strainer diff pressure,Non-Process Safety
WP12.X kontaminerat avfall (roda ytor) till friklassning,Operational loss,WP12.X kontaminerat avfall (roda ytor) till friklassning,Non-Process Safety
"Blitzschutz nicht fachgerecht montiert. Siehe DGUV Vorschrift 3, DGUV 203-092, 
DGUV Gas Nr. 17",Process Safety,Blitzschutz nicht fachgerecht montiert.,Non-Process Safety
Oskarshamn 1 - RIO - Rework BLA-lador pa tvivelaktiga grunder,Asset and Reputation damage/loss,Oskarshamn 1 - RIO - Rework BLA-lador pa tvivelaktiga grunder,Non-Process Safety
Branddorr stod oppen,Process Safety,Branddorr stod oppen,Non-Process Safety
"After an observation check of the feed water tank dehumidifier P1 defect, a melted plug was found caused by an electrical fault. Andrew Sykes contacted and are due to replace/repair dehumidifier.",Process Safety,Andrew Sykes Dehumidifier,Non-Process Safety
"Rondom de BESS batterijcontainers zitten diverse meeuwennesten (oa achter de heaviestank), met oog op het onderhoud wat hier in week 20 gaat plaatsvinden gaat dit gegarandeerd overlast geven.",,Meeuwenoverlast bij de BESS,Non-Process Safety
WP12.3 Brandbelastning R2.08,Operational loss,WP12.3 Brandbelastning R2.08,Non-Process Safety
"Auf allen Toiletten muss ein Hygienebehaelter mit Deckel stehen. ASR A4.1 ""Sanitaerraeume""",,Hygienebehaelter auf Toilette,Non-Process Safety
Housekeeping elverkstad,Process Safety,Housekeeping elverkstad,Non-Process Safety
"Voor werkzaamheden in de koeltoren moest het bassin betreden worden dit d.m.v. een vaste trap. Tijdens het gebruik van deze trap is 1 van de leuningen afgebroken. 
Gelukkig hield de contractor zich ook vast aan de andere leuning waardoor hij niet is gevallen.
Zie bijlage's voor de foto's",Process Safety,Leuning afgebroken vaste trapbordes,Non-Process Safety
"Oppen branddorr Forlaggningshotellet, pav 3",Asset and Reputation damage/loss,"Oppen branddorr Forlaggningshotellet, pav 3",Non-Process Safety
"Tijdens bijnemen van de biopropaanbranders MPP3 zijn verschillende lekkages waargenomen, bij brander 52 was deze  zo extreem dat het stof deed opwaaien.
De H2 detectie meting gaf zeer hoog aan en er werd een extreme geur waargenomen.
Van geluk mag worden gesproken dat Neste nog in opstart fase was en er geen laagcalorisch gas met hoge H2 concentratie geleverd werd, daar anders het risico van brand met persoonlijk letsel of erger niet ondenkbaar is.
Na onderzoek bleek dat er diverse wartels van de branderslangen los zaten, er waren erbij welke meerdere slagen aangedraaid konden worden.
Tijdens de grote revisie MPP3 is er aan deze branders gewerkt, deze hebben daarna nog niet bij gestaan.",Process Safety,Extreme LBS biopropaan lekkage bij branders MPP3,Non-Process Safety
"WP12.5 rok/brand i isolering R1.57, brister vid heta arbeten",Operational loss,"WP12.5 rok/brand i isolering R1.57, brister vid heta arbeten",Non-Process Safety
Im Sickerkanal fehlt eine Sicherungsschraube an einem Gitterrost.,,Gitterrost,Non-Process Safety
Im Kontrollgang Rosshaupten ist die Ringleitung von der Decke gebrochen.,Asset and Reputation damage/loss,Kontrollgang Ringleitung defekt 10.04.2023,Non-Process Safety
OVT CCGT - Risk for stromgenomgang / Risk of electrical chock,Process Safety,OVT CCGT - Risk for stromgenomgang / Risk of electrical chock,Process Safety
Im Zuge von Arbeiten am Infrastruktur-Projekt durch die Uniper IT wurde in Kraftwerk Pielweichs faelschlicherweise eine Webcam mit dem PIT-Netz der Wasserkraft verbunden. Dies verursachte einen Ausfall der redundanten Datenanbindung dieses Kraftwerks fuer mehrere Stunden. Die primaere Verbindung und damit der Kraftwerksbetrieb war zu keiner Zeit eingeschraenkt.,Process Safety,Anschluss einer nicht-autorisierten Webcam an das Prozess-IT-Netz,Non-Process Safety
"From 30th April to 2nd May, damage was reported on different U1 and U2 seal air fan motors, with damaged holding down bolts, motor cowling, terminal boxes dislodged and in one case a motor/fan shaft sheared completely. This is suspected to be resultant damage from in service vibrations.",Process Safety,PSNH - FGD Damper Seal Air Fan Motors Damaged - U1 and U2,Non-Process Safety
Brandlarm Vandrarhemmet Pav 7 / brandrisk,Asset and Reputation damage/loss,Brandlarm Vandrarhemmet Pav 7 / brandrisk,Non-Process Safety
Im Innenhof liegt eine alte Laterne. Diese sollte entsorgt oder eingelagert werden. Ggf. an einem neuen Ort aufstellen.,Asset and Reputation damage/loss,"BGL Innenhof, alte Laterne nicht entsorgt.",Non-Process Safety
"Na telefonische info vanuit EMO waarin werd aangegeven dat EMO 16 ijkgewichten kwijt zijn, is het zeer waarschijnlijk dat deze ijkgewichten op het (inmiddels) geisoleerde B2 veld liggen. Indien één van deze gewichten in 1 van de PKM;s terecht komt zal deze zeer grote schade teweeg brengen. Het lokaliseren van deze 16 ijkgewichten is dan ook essentieel en zal worden gerealiseerd in samenwerking met EMO.",Operational loss,IJkgewichten vanuit EMO in kolenaanvoer terechtgekomen (achterafmelding van vrijdag 30 sept),Non-Process Safety
WP12.2 blockerad brandslackare 2R5.28 / brandredskap,Operational loss,WP12.2 blockerad brandslackare 2R5.28 / brandredskap,Non-Process Safety
Dokument,Operational loss,Dokument,Non-Process Safety
"During the morning of the return of U1 from main outage, it was noted that superheat spray flow was not sufficient as load increased.  The duty AUO was despatched to investigate the issue, helped by the commissioning lead operator.  They found the spray pump hand isolating valves in the closed position.  The valves could not have been 100% closed as there was sufficient flow to achieve ~5kg/sec of flow at the sprays.

These valves are very large hand isolating valves that are not routinely operated (2 man job to open / close) and are not part of any outage isolations as they are left available for maintenance during the outage.  

The work lists from the PFW's show that the valves were worked on during the outage, and we suspect they were operated by the maintenance team to prove operation following maintenance, and hence left in the closed position.

The valves should have been picked up as closed during the initial commissioning phase, and then again on the pre start checks prior to RTS of the pump.

This is the first Main outage RTS since the change to the outage procedure of filling the DA with FFA and forward filling of the feed system with the SSFP's.  With the introduction of the new boiler filling dosing skid, it means we no longer carry out the above step.  Instead we hold the feed water at the HP heater outlets and then fill the boiler using the filling pump with pre dosed water.  Then during the boiler Hydraulic, we back fill the steam circuits through the spray bypass line.  This meant that during our commissioning phase the Spray pump system got missed and highlighted a gap in the new procedure.

The pre start checks were carried out by the duty AUO.  On interviewing the AUO he stated that he had carried out a pre-start check, but only checked the electric valves as per usual for a normal return from a 2-shift.  This was a relatively inexperienced AUO who had never seen the hand isolators operated before.",Process Safety,U1 Return to service from Outage - Spray pump hand isolating valves found in incorrect position.,Non-Process Safety
